代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
1536,和大,"4,914,346","3,656","588,792,271",121.5,123.5,118,119,-,1,119,73,119.5,27,121.43
1537,廣隆,"102,743",91,"14,160,183",137.5,138.5,137.5,138,+,1,138,7,138.5,18,12.72
1538,正峰,"13,310",36,"98,438",7.38,7.41,7.38,7.41,+,0.1,7.41,2,7.8,2,0
1539,巨庭,"52,000",36,"946,750",18.2,18.45,18,18.45, ,0,18.15,2,18.45,4,0
1540,喬福,"44,044",41,"655,412",14.9,14.95,14.85,14.85, ,0,14.85,8,14.9,5,0
1541,錩泰,"47,051",41,"2,527,723",54,54.4,53.3,53.6, ,0,53.5,2,53.7,5,11.03
1558,伸興,"86,670",84,"12,191,831",140.5,141,140,140.5,+,0.5,140.5,4,141,11,11.59
1560,中砂,"378,290",304,"24,580,669",64.5,65.4,64.5,64.9,+,0.6,64.9,3,65,9,16.47
1568,倉佑,"1,781,573","1,097","48,752,255",27.8,28.3,26.7,26.85,-,0.65,26.85,15,26.9,6,383.57
1582,信錦,"512,058",403,"41,067,098",80.7,80.8,79.8,80.8,+,0.9,80.3,3,80.8,14,10.05
1583,程泰,"6,035",8,"380,577",63,63.4,62.6,62.6,+,0.1,62.6,1,63.2,1,15.69
1587,吉茂,"1,837,840","1,045","46,318,770",24.6,25.8,24.3,25.35,+,0.85,25.35,16,25.4,29,12.01
1589,永冠-KY,"386,127",226,"29,863,025",77.4,77.9,77,77.3, ,0,77.1,13,77.3,2,17.89
1590,亞德客-KY,"690,283",693,"715,274,825","1,045.00","1,050.00","1,020.00","1,040.00", ,0,"1,040.00",11,"1,045.00",2,48.04
1592,英瑞-KY,"453,000",180,"3,444,970",7.64,7.8,7.51,7.65,-,0.06,7.55,11,7.65,3,0
1597,直得,"1,132,100",998,"113,237,959",100,101,98.8,100,+,1.9,100,58,100.5,9,42.74
1598,岱宇,"895,774",532,"95,381,213",107.5,109.5,105,106.5,-,0.5,106,12,106.5,1,19.12
1603,華電,"122,003",92,"3,244,128",26.65,26.8,26.4,26.4,-,0.6,26.35,3,26.5,4,10.6
1604,聲寶,"581,980",294,"14,813,646",25.4,25.55,25.35,25.55,+,0.15,25.5,6,25.55,11,5.54
